200 80
0.00000000 0.00000000 9.45063584
0.00000000 0.09882118 9.45063584
0.00000000 0.19764235 9.45063584
0.00000000 0.29646353 9.45063584
0.00000000 0.39528471 9.45063584
0.00000000 0.49410588 9.45063584
0.00000000 0.59292706 9.45063584
0.00000000 0.69174824 9.45063584
0.00000000 0.79056942 9.45063584
0.00000000 0.88939059 9.45063584
0.00000000 0.98821177 9.45063584
0.00000000 1.08703295 9.45063584
0.00000000 1.18585412 9.45063584
0.00000000 1.28467530 9.45063584
0.00000000 1.38349648 9.45063584
0.00000000 1.48231765 9.45063584
0.00000000 1.58113883 9.45063584
0.00000000 1.67996001 9.45063584
0.00000000 1.77878118 9.45063584
0.00000000 1.87760236 9.45063584
0.00000000 1.97642354 9.45063584
0.00000000 2.07524471 12.60084779
0.00000000 2.17406589 12.60084779
0.00000000 2.27288707 12.60084779
0.00000000 2.37170825 12.60084779
0.00000000 2.47052942 12.60084779
0.00000000 2.56935060 12.60084779
0.00000000 2.66817178 12.60084779
0.00000000 2.76699295 12.60084779
0.00000000 2.86581413 12.60084779
0.00000000 2.96463531 12.60084779
0.00000000 3.06345648 12.60084779
0.00000000 3.16227766 12.60084779
0.00000000 3.26109884 12.60084779
0.00000000 3.35992001 12.60084779
0.00000000 3.45874119 12.60084779
0.00000000 3.55756237 12.60084779
0.00000000 3.65638354 12.60084779
0.00000000 3.75520472 12.60084779
0.00000000 3.85402590 12.60084779
0.00000000 3.95284708 12.60084779
0.00000000 4.05166825 12.60084779
0.00000000 4.15048943 12.60084779
0.00000000 4.24931061 12.60084779
0.00000000 4.34813178 12.60084779
0.00000000 4.44695296 12.60084779
0.00000000 4.54577414 12.60084779
0.00000000 4.64459531 12.60084779
0.00000000 4.74341649 12.60084779
0.00000000 4.84223767 12.60084779
0.00000000 4.94105884 12.60084779
0.00000000 5.03988002 12.60084779
0.00000000 5.13870120 12.60084779
0.00000000 5.23752237 12.60084779
0.00000000 5.33634355 12.60084779
0.00000000 5.43516473 12.60084779
0.00000000 5.53398591 12.60084779
0.00000000 5.63280708 12.60084779
0.00000000 5.73162826 12.60084779
0.00000000 5.83044944 12.60084779
0.00000000 5.92927061 12.60084779
0.00000000 6.02809179 12.60084779
