200 80
0.00000000 0.00000000 1.50000000
0.00000000 0.09882118 1.50000000
0.00000000 0.19764235 1.50000000
0.00000000 0.29646353 1.50000000
0.00000000 0.39528471 1.50000000
0.00000000 0.49410588 1.50000000
0.00000000 0.59292706 1.50000000
0.00000000 0.69174824 1.50000000
0.00000000 0.79056942 1.50000000
0.00000000 0.88939059 1.50000000
0.00000000 0.98821177 1.50000000
0.00000000 1.08703295 1.50000000
0.00000000 1.18585412 1.50000000
0.00000000 1.28467530 1.50000000
0.00000000 1.38349648 1.50000000
0.00000000 1.48231765 1.50000000
0.00000000 1.58113883 1.50000000
0.00000000 1.67996001 1.50000000
0.00000000 1.77878118 1.50000000
0.00000000 1.87760236 1.50000000
0.00000000 1.97642354 1.50000000
0.00000000 2.07524471 1.00000000
0.00000000 2.17406589 1.00000000
0.00000000 2.27288707 1.00000000
0.00000000 2.37170825 1.00000000
0.00000000 2.47052942 1.00000000
0.00000000 2.56935060 1.00000000
0.00000000 2.66817178 1.00000000
0.00000000 2.76699295 1.00000000
0.00000000 2.86581413 1.00000000
0.00000000 2.96463531 1.00000000
0.00000000 3.06345648 1.00000000
0.00000000 3.16227766 1.00000000
0.00000000 3.26109884 1.00000000
0.00000000 3.35992001 1.00000000
0.00000000 3.45874119 1.00000000
0.00000000 3.55756237 1.00000000
0.00000000 3.65638354 1.00000000
0.00000000 3.75520472 1.00000000
0.00000000 3.85402590 1.00000000
0.00000000 3.95284708 1.00000000
0.00000000 4.05166825 1.00000000
0.00000000 4.15048943 1.00000000
0.00000000 4.24931061 1.00000000
0.00000000 4.34813178 1.00000000
0.00000000 4.44695296 1.00000000
0.00000000 4.54577414 1.00000000
0.00000000 4.64459531 1.00000000
0.00000000 4.74341649 1.00000000
0.00000000 4.84223767 1.00000000
0.00000000 4.94105884 1.00000000
0.00000000 5.03988002 1.00000000
0.00000000 5.13870120 1.00000000
0.00000000 5.23752237 1.00000000
0.00000000 5.33634355 1.00000000
0.00000000 5.43516473 1.00000000
0.00000000 5.53398591 1.00000000
0.00000000 5.63280708 1.00000000
0.00000000 5.73162826 1.00000000
0.00000000 5.83044944 1.00000000
0.00000000 5.92927061 1.00000000
0.00000000 6.02809179 1.00000000
0.00000000 6.12691297 1.00000000
0.00000000 6.22573414 1.00000000
0.00000000 6.32455532 1.00000000
0.00000000 6.42337650 1.00000000
0.00000000 6.52219767 1.00000000
0.00000000 6.62101885 1.00000000
0.00000000 6.71984003 1.00000000
0.00000000 6.81866120 1.00000000
0.00000000 6.91748238 1.00000000
0.00000000 7.01630356 1.00000000
0.00000000 7.11512474 1.00000000
0.00000000 7.21394591 1.00000000
0.00000000 7.31276709 1.00000000
0.00000000 7.41158827 1.00000000
0.00000000 7.51040944 1.00000000
0.00000000 7.60923062 1.00000000
0.00000000 7.70805180 1.00000000
0.00000000 7.80687297 1.00000000
0.04180186 0.00000000 1.49988695
0.04180186 0.09882118 1.49988748
0.04180186 0.19764235 1.49988802
0.04180186 0.29646353 1.49989288
0.04180186 0.39528471 1.49990413
0.04180186 0.49410588 1.49992421
0.04180186 0.59292706 1.49995419
0.04180186 0.69174824 1.49999100
0.04180186 0.79056942 1.50002516
0.04180186 0.88939059 1.50004187
0.04180186 0.98821177 1.50002929
0.04180186 1.08703295 1.49999225
0.04180186 1.18585412 1.49995575
0.04180186 1.28467530 1.49994526
0.04180186 1.38349648 1.49996768
0.04180186 1.48231765 1.50010534
0.04180186 1.58113883 1.50069894
0.04180186 1.67996001 1.50359918
0.04180186 1.77878118 1.52056110
0.04180186 1.87760236 1.56913508
0.04180186 1.97642354 1.61770906
0.04180186 2.07524471 1.00000000
0.04180186 2.17406589 1.00000000
0.04180186 2.27288707 1.00000000
0.04180186 2.37170825 1.00000000
0.04180186 2.47052942 0.96548199
0.04180186 2.56935060 1.16961093
0.04180186 2.66817178 1.04129861
0.04180186 2.76699295 1.17940511
0.04180186 2.86581413 1.19051601
0.04180186 2.96463531 1.27129522
0.04180186 3.06345648 1.31599199
0.04180186 3.16227766 1.36416152
0.04180186 3.26109884 1.39417875
0.04180186 3.35992001 1.40648637
0.04180186 3.45874119 1.39393907
0.04180186 3.55756237 1.35542218
0.04180186 3.65638354 1.29614069
0.04180186 3.75520472 1.22752953
0.04180186 3.85402590 1.16193902
0.04180186 3.95284708 1.10766137
0.04180186 4.05166825 1.06747711
0.04180186 4.15048943 1.04019663
0.04180186 4.24931061 1.02290705
0.04180186 4.34813178 1.01254876
0.04180186 4.44695296 1.00663190
0.04180186 4.54577414 1.00339030
0.04180186 4.64459531 1.00167990
0.04180186 4.74341649 1.00080811
0.04180186 4.84223767 1.00037790
0.04180186 4.94105884 1.00017198
0.04180186 5.03988002 1.00007624
0.04180186 5.13870120 1.00003295
0.04180186 5.23752237 1.00001390
0.04180186 5.33634355 1.00000572
0.04180186 5.43516473 1.00000230
0.04180186 5.53398591 1.00000091
0.04180186 5.63280708 1.00000035
0.04180186 5.73162826 1.00000013
0.04180186 5.83044944 1.00000005
0.04180186 5.92927061 1.00000002
0.04180186 6.02809179 1.00000001
0.04180186 6.12691297 1.00000000
0.04180186 6.22573414 1.00000000
0.04180186 6.32455532 1.00000000
0.04180186 6.42337650 1.00000000
0.04180186 6.52219767 1.00000000
0.04180186 6.62101885 1.00000000
0.04180186 6.71984003 1.00000000
0.04180186 6.81866120 1.00000000
0.04180186 6.91748238 1.00000000
0.04180186 7.01630356 1.00000000
0.04180186 7.11512474 1.00000000
0.04180186 7.21394591 1.00000000
0.04180186 7.31276709 1.00000000
0.04180186 7.41158827 1.00000000
0.04180186 7.51040944 1.00000000
0.04180186 7.60923062 1.00000000
0.04180186 7.70805180 1.00000000
0.04180186 7.80687297 1.00000000
0.08360373 0.00000000 1.50004927
0.08360373 0.09882118 1.50003551
0.08360373 0.19764235 1.50002175
0.08360373 0.29646353 1.49999902
0.08360373 0.39528471 1.49996904
0.08360373 0.49410588 1.49993600
0.08360373 0.59292706 1.49990758
0.08360373 0.69174824 1.49989456
0.08360373 0.79056942 1.49990661
0.08360373 0.88939059 1.49994347
0.08360373 0.98821177 1.49998579
0.08360373 1.08703295 1.50000156
0.08360373 1.18585412 1.49997790
0.08360373 1.28467530 1.49996041
0.08360373 1.38349648 1.50006110
0.08360373 1.48231765 1.50057018
0.08360373 1.58113883 1.50258042
0.08360373 1.67996001 1.51044058
0.08360373 1.77878118 1.54787194
0.08360373 1.87760236 1.63312398
0.08360373 1.97642354 1.71837601
0.08360373 2.07524471 1.00000000
0.08360373 2.17406589 1.00000000
0.08360373 2.27288707 1.00000000
0.08360373 2.37170825 1.00000000
0.08360373 2.47052942 1.03739035
0.08360373 2.56935060 1.01225803
0.08360373 2.66817178 0.96904196
0.08360373 2.76699295 1.00459906
0.08360373 2.86581413 1.00759522
0.08360373 2.96463531 1.04194160
0.08360373 3.06345648 1.06526116
0.08360373 3.16227766 1.09605131
0.08360373 3.26109884 1.12507952
0.08360373 3.35992001 1.15308954
0.08360373 3.45874119 1.17406653
0.08360373 3.55756237 1.18186982
0.08360373 3.65638354 1.17247400
0.08360373 3.75520472 1.14784517
0.08360373 3.85402590 1.11506043
0.08360373 3.95284708 1.08214028
0.08360373 4.05166825 1.05446044
0.08360373 4.15048943 1.03392848
0.08360373 4.24931061 1.02005248
0.08360373 4.34813178 1.01132557
0.08360373 4.44695296 1.00614551
0.08360373 4.54577414 1.00321615
0.08360373 4.64459531 1.00162787
0.08360373 4.74341649 1.00079858
0.08360373 4.84223767 1.00038032
0.08360373 4.94105884 1.00017607
0.08360373 5.03988002 1.00007933
0.08360373 5.13870120 1.00003482
0.08360373 5.23752237 1.00001490
0.08360373 5.33634355 1.00000622
0.08360373 5.43516473 1.00000254
0.08360373 5.53398591 1.00000101
0.08360373 5.63280708 1.00000039
0.08360373 5.73162826 1.00000015
0.08360373 5.83044944 1.00000006
0.08360373 5.92927061 1.00000002
0.08360373 6.02809179 1.00000001
0.08360373 6.12691297 1.00000000
0.08360373 6.22573414 1.00000000
0.08360373 6.32455532 1.00000000
0.08360373 6.42337650 1.00000000
0.08360373 6.52219767 1.00000000
0.08360373 6.62101885 1.00000000
0.08360373 6.71984003 1.00000000
0.08360373 6.81866120 1.00000000
0.08360373 6.91748238 1.00000000
0.08360373 7.01630356 1.00000000
0.08360373 7.11512474 1.00000000
0.08360373 7.21394591 1.00000000
0.08360373 7.31276709 1.00000000
0.08360373 7.41158827 1.00000000
0.08360373 7.51040944 1.00000000
0.08360373 7.60923062 1.00000000
0.08360373 7.70805180 1.00000000
0.08360373 7.80687297 1.00000000
0.12540559 0.00000000 1.50006456
0.12540559 0.09882118 1.50006949
0.12540559 0.19764235 1.50007443
0.12540559 0.29646353 1.50007940
0.12540559 0.39528471 1.50008166
0.12540559 0.49410588 1.50007678
0.12540559 0.59292706 1.50005962
0.12540559 0.69174824 1.50002700
0.12540559 0.79056942 1.49998195
0.12540559 0.88939059 1.49993705
0.12540559 0.98821177 1.49991100
0.12540559 1.08703295 1.49991443
0.12540559 1.18585412 1.49994321
0.12540559 1.28467530 1.50002119
0.12540559 1.38349648 1.50033628
0.12540559 1.48231765 1.50148103
0.12540559 1.58113883 1.50540021
0.12540559 1.67996001 1.51836902
0.12540559 1.77878118 1.56292279
0.12540559 1.87760236 1.69584447
0.12540559 1.97642354 1.82876615
0.12540559 2.07524471 1.00000000
0.12540559 2.17406589 1.00000000
0.12540559 2.27288707 1.00000000
0.12540559 2.37170825 1.00000000
0.12540559 2.47052942 0.98440306
0.12540559 2.56935060 1.12877956
0.12540559 2.66817178 1.02344715
0.12540559 2.76699295 1.12084096
0.12540559 2.86581413 1.11957241
0.12540559 2.96463531 1.17554248
0.12540559 3.06345648 1.20236117
0.12540559 3.16227766 1.23475027
0.12540559 3.26109884 1.25624986
0.12540559 3.35992001 1.27026785
0.12540559 3.45874119 1.27225739
0.12540559 3.55756237 1.25932538
0.12540559 3.65638354 1.23042371
0.12540559 3.75520472 1.18934750
0.12540559 3.85402590 1.14366384
0.12540559 3.95284708 1.10111603
0.12540559 4.05166825 1.06655583
0.12540559 4.15048943 1.04132916
0.12540559 4.24931061 1.02440254
0.12540559 4.34813178 1.01378669
0.12540559 4.44695296 1.00748886
0.12540559 4.54577414 1.00392510
0.12540559 4.64459531 1.00199030
0.12540559 4.74341649 1.00097834
0.12540559 4.84223767 1.00046694
0.12540559 4.94105884 1.00021666
0.12540559 5.03988002 1.00009784
0.12540559 5.13870120 1.00004304
0.12540559 5.23752237 1.00001846
0.12540559 5.33634355 1.00000773
0.12540559 5.43516473 1.00000316
0.12540559 5.53398591 1.00000126
0.12540559 5.63280708 1.00000049
0.12540559 5.73162826 1.00000019
0.12540559 5.83044944 1.00000007
0.12540559 5.92927061 1.00000003
0.12540559 6.02809179 1.00000001
0.12540559 6.12691297 1.00000000
0.12540559 6.22573414 1.00000000
0.12540559 6.32455532 1.00000000
0.12540559 6.42337650 1.00000000
0.12540559 6.52219767 1.00000000
0.12540559 6.62101885 1.00000000
0.12540559 6.71984003 1.00000000
0.12540559 6.81866120 1.00000000
0.12540559 6.91748238 1.00000000
0.12540559 7.01630356 1.00000000
0.12540559 7.11512474 1.00000000
0.12540559 7.21394591 1.00000000
0.12540559 7.31276709 1.00000000
0.12540559 7.41158827 1.00000000
0.12540559 7.51040944 1.00000000
0.12540559 7.60923062 1.00000000
0.12540559 7.70805180 1.00000000
0.12540559 7.80687297 1.00000000
0.16720745 0.00000000 1.49996258
0.16720745 0.09882118 1.49995603
0.16720745 0.19764235 1.49994948
0.16720745 0.29646353 1.49994224
0.16720745 0.39528471 1.49993675
0.16720745 0.49410588 1.49993652
0.16720745 0.59292706 1.49994449
0.16720745 0.69174824 1.49996032
0.16720745 0.79056942 1.49997713
0.16720745 0.88939059 1.49998161
0.16720745 0.98821177 1.49996275
0.16720745 1.08703295 1.49993105
0.16720745 1.18585412 1.49993849
0.16720745 1.28467530 1.50010430
0.16720745 1.38349648 1.50073260
0.16720745 1.48231765 1.50275359
0.16720745 1.58113883 1.50891540
0.16720745 1.67996001 1.52720650
0.16720745 1.77878118 1.58454787
0.16720745 1.87760236 1.75182253
0.16720745 1.97642354 1.91909719
0.16720745 2.07524471 1.00000000
0.16720745 2.17406589 1.00000000
0.16720745 2.27288707 1.00000000
0.16720745 2.37170825 1.00000000
0.16720745 2.47052942 1.02627810
0.16720745 2.56935060 1.02786492
0.16720745 2.66817178 0.98256621
0.16720745 2.76699295 1.04063828
