200 80
0.00000000 0.00000000 2.00000000
0.00000000 0.09882118 2.00000000
0.00000000 0.19764235 2.00000000
0.00000000 0.29646353 2.00000000
0.00000000 0.39528471 2.00000000
0.00000000 0.49410588 2.00000000
0.00000000 0.59292706 2.00000000
0.00000000 0.69174824 2.00000000
0.00000000 0.79056942 2.00000000
0.00000000 0.88939059 2.00000000
0.00000000 0.98821177 2.00000000
0.00000000 1.08703295 2.00000000
0.00000000 1.18585412 2.00000000
0.00000000 1.28467530 2.00000000
0.00000000 1.38349648 2.00000000
0.00000000 1.48231765 2.00000000
0.00000000 1.58113883 2.00000000
0.00000000 1.67996001 2.00000000
0.00000000 1.77878118 2.00000000
0.00000000 1.87760236 2.00000000
0.00000000 1.97642354 2.00000000
0.00000000 2.07524471 1.00000000
0.00000000 2.17406589 1.00000000
0.00000000 2.27288707 1.00000000
0.00000000 2.37170825 1.00000000
0.00000000 2.47052942 1.00000000
0.00000000 2.56935060 1.00000000
0.00000000 2.66817178 1.00000000
0.00000000 2.76699295 1.00000000
0.00000000 2.86581413 1.00000000
0.00000000 2.96463531 1.00000000
0.00000000 3.06345648 1.00000000
0.00000000 3.16227766 1.00000000
0.00000000 3.26109884 1.00000000
0.00000000 3.35992001 1.00000000
0.00000000 3.45874119 1.00000000
0.00000000 3.55756237 1.00000000
0.00000000 3.65638354 1.00000000
0.00000000 3.75520472 1.00000000
0.00000000 3.85402590 1.00000000
0.00000000 3.95284708 1.00000000
0.00000000 4.05166825 1.00000000
0.00000000 4.15048943 1.00000000
0.00000000 4.24931061 1.00000000
0.00000000 4.34813178 1.00000000
0.00000000 4.44695296 1.00000000
0.00000000 4.54577414 1.00000000
0.00000000 4.64459531 1.00000000
0.00000000 4.74341649 1.00000000
0.00000000 4.84223767 1.00000000
0.00000000 4.94105884 1.00000000
0.00000000 5.03988002 1.00000000
0.00000000 5.13870120 1.00000000
0.00000000 5.23752237 1.00000000
0.00000000 5.33634355 1.00000000
0.00000000 5.43516473 1.00000000
0.00000000 5.53398591 1.00000000
0.00000000 5.63280708 1.00000000
0.00000000 5.73162826 1.00000000
0.00000000 5.83044944 1.00000000
0.00000000 5.92927061 1.00000000
0.00000000 6.02809179 1.00000000
0.00000000 6.12691297 1.00000000
0.00000000 6.22573414 1.00000000
0.00000000 6.32455532 1.00000000
0.00000000 6.42337650 1.00000000
0.00000000 6.52219767 1.00000000
0.00000000 6.62101885 1.00000000
0.00000000 6.71984003 1.00000000
0.00000000 6.81866120 1.00000000
0.00000000 6.91748238 1.00000000
0.00000000 7.01630356 1.00000000
0.00000000 7.11512474 1.00000000
0.00000000 7.21394591 1.00000000
0.00000000 7.31276709 1.00000000
0.00000000 7.41158827 1.00000000
0.00000000 7.51040944 1.00000000
0.00000000 7.60923062 1.00000000
0.00000000 7.70805180 1.00000000
0.00000000 7.80687297 1.00000000
0.04180186 0.00000000 2.00000072
0.04180186 0.09882118 2.00000063
0.04180186 0.19764235 2.00000054
0.04180186 0.29646353 2.00000038
0.04180186 0.39528471 2.00000010
0.04180186 0.49410588 1.99999961
0.04180186 0.59292706 1.99999873
0.04180186 0.69174824 1.99999713
0.04180186 0.79056942 1.99999419
0.04180186 0.88939059 1.99998866
0.04180186 0.98821177 1.99997799
0.04180186 1.08703295 1.99995669
0.04180186 1.18585412 1.99991246
0.04180186 1.28467530 1.99981666
0.04180186 1.38349648 1.99959888
0.04180186 1.48231765 1.99907346
0.04180186 1.58113883 1.99770124
0.04180186 1.67996001 1.99367719
0.04180186 1.77878118 1.97945155
0.04180186 1.87760236 1.90916027
0.04180186 1.97642354 1.00000000
0.04180186 2.07524471 1.00000000
0.04180186 2.17406589 1.00000000
0.04180186 2.27288707 1.00000000
0.04180186 2.37170825 1.00000000
0.04180186 2.47052942 1.00000000
0.04180186 2.56935060 1.00324576
0.04180186 2.66817178 1.00485338
0.04180186 2.76699295 1.00484229
0.04180186 2.86581413 1.00429412
0.04180186 2.96463531 1.00376393
0.04180186 3.06345648 1.00333002
0.04180186 3.16227766 1.00321703
0.04180186 3.26109884 1.00343059
0.04180186 3.35992001 1.00398728
0.04180186 3.45874119 1.00473376
0.04180186 3.55756237 1.00539594
0.04180186 3.65638354 1.00567355
0.04180186 3.75520472 1.00540876
0.04180186 3.85402590 1.00466300
0.04180186 3.95284708 1.00365568
0.04180186 4.05166825 1.00263145
0.04180186 4.15048943 1.00175858
0.04180186 4.24931061 1.00110284
0.04180186 4.34813178 1.00065503
0.04180186 4.44695296 1.00037119
0.04180186 4.54577414 1.00020182
0.04180186 4.64459531 1.00010572
0.04180186 4.74341649 1.00005352
0.04180186 4.84223767 1.00002625
0.04180186 4.94105884 1.00001249
0.04180186 5.03988002 1.00000577
0.04180186 5.13870120 1.00000260
0.04180186 5.23752237 1.00000114
0.04180186 5.33634355 1.00000049
0.04180186 5.43516473 1.00000020
0.04180186 5.53398591 1.00000008
0.04180186 5.63280708 1.00000003
0.04180186 5.73162826 1.00000001
0.04180186 5.83044944 1.00000000
0.04180186 5.92927061 1.00000000
0.04180186 6.02809179 1.00000000
0.04180186 6.12691297 1.00000000
0.04180186 6.22573414 1.00000000
0.04180186 6.32455532 1.00000000
0.04180186 6.42337650 1.00000000
0.04180186 6.52219767 1.00000000
0.04180186 6.62101885 1.00000000
0.04180186 6.71984003 1.00000000
0.04180186 6.81866120 1.00000000
0.04180186 6.91748238 1.00000000
0.04180186 7.01630356 1.00000000
0.04180186 7.11512474 1.00000000
0.04180186 7.21394591 1.00000000
0.04180186 7.31276709 1.00000000
0.04180186 7.41158827 1.00000000
0.04180186 7.51040944 1.00000000
0.04180186 7.60923062 1.00000000
0.04180186 7.70805180 1.00000000
0.04180186 7.80687297 1.00000000
0.08360373 0.00000000 2.00000158
0.08360373 0.09882118 2.00000133
0.08360373 0.19764235 2.00000109
0.08360373 0.29646353 2.00000068
0.08360373 0.39528471 1.99999998
0.08360373 0.49410588 1.99999877
0.08360373 0.59292706 1.99999661
0.08360373 0.69174824 1.99999269
0.08360373 0.79056942 1.99998541
0.08360373 0.88939059 1.99997160
0.08360373 0.98821177 1.99994474
0.08360373 1.08703295 1.99989092
0.08360373 1.18585412 1.99977916
0.08360373 1.28467530 1.99953745
0.08360373 1.38349648 1.99898994
0.08360373 1.48231765 1.99767917
0.08360373 1.58113883 1.99431261
0.08360373 1.67996001 1.98481191
0.08360373 1.77878118 1.95428556
0.08360373 1.87760236 1.83489533
0.08360373 1.97642354 1.00000000
0.08360373 2.07524471 1.00000000
0.08360373 2.17406589 1.00000000
0.08360373 2.27288707 1.00000000
0.08360373 2.37170825 1.00000000
0.08360373 2.47052942 1.00000000
0.08360373 2.56935060 1.00739030
0.08360373 2.66817178 1.01064037
0.08360373 2.76699295 1.01060356
0.08360373 2.86581413 1.00953870
0.08360373 2.96463531 1.00837393
0.08360373 3.06345648 1.00738774
0.08360373 3.16227766 1.00689517
0.08360373 3.26109884 1.00693054
0.08360373 3.35992001 1.00751318
0.08360373 3.45874119 1.00842926
0.08360373 3.55756237 1.00928095
0.08360373 3.65638354 1.00961100
0.08360373 3.75520472 1.00914458
0.08360373 3.85402590 1.00792722
0.08360373 3.95284708 1.00626798
0.08360373 4.05166825 1.00455136
0.08360373 4.15048943 1.00306456
0.08360373 4.24931061 1.00193327
0.08360373 4.34813178 1.00115345
0.08360373 4.44695296 1.00065589
0.08360373 4.54577414 1.00035759
0.08360373 4.64459531 1.00018774
0.08360373 4.74341649 1.00009523
0.08360373 4.84223767 1.00004678
0.08360373 4.94105884 1.00002229
0.08360373 5.03988002 1.00001032
0.08360373 5.13870120 1.00000465
0.08360373 5.23752237 1.00000204
0.08360373 5.33634355 1.00000087
0.08360373 5.43516473 1.00000036
0.08360373 5.53398591 1.00000015
0.08360373 5.63280708 1.00000006
0.08360373 5.73162826 1.00000002
0.08360373 5.83044944 1.00000001
0.08360373 5.92927061 1.00000000
0.08360373 6.02809179 1.00000000
0.08360373 6.12691297 1.00000000
0.08360373 6.22573414 1.00000000
0.08360373 6.32455532 1.00000000
0.08360373 6.42337650 1.00000000
0.08360373 6.52219767 1.00000000
0.08360373 6.62101885 1.00000000
0.08360373 6.71984003 1.00000000
0.08360373 6.81866120 1.00000000
0.08360373 6.91748238 1.00000000
0.08360373 7.01630356 1.00000000
0.08360373 7.11512474 1.00000000
0.08360373 7.21394591 1.00000000
0.08360373 7.31276709 1.00000000
0.08360373 7.41158827 1.00000000
0.08360373 7.51040944 1.00000000
0.08360373 7.60923062 1.00000000
0.08360373 7.70805180 1.00000000
0.08360373 7.80687297 1.00000000
0.12540559 0.00000000 2.00000303
0.12540559 0.09882118 2.00000254
0.12540559 0.19764235 2.00000204
0.12540559 0.29646353 2.00000123
0.12540559 0.39528471 1.99999985
0.12540559 0.49410588 1.99999751
0.12540559 0.59292706 1.99999343
0.12540559 0.69174824 1.99998609
0.12540559 0.79056942 1.99997254
0.12540559 0.88939059 1.99994684
0.12540559 0.98821177 1.99989674
0.12540559 1.08703295 1.99979623
0.12540559 1.18585412 1.99958782
0.12540559 1.28467530 1.99913923
0.12540559 1.38349648 1.99813209
0.12540559 1.48231765 1.99575850
0.12540559 1.58113883 1.98983224
