200 80
0.00000000 0.00000000 1.00000000
0.00000000 0.09882118 1.00000000
0.00000000 0.19764235 1.00000000
0.00000000 0.29646353 1.00000000
0.00000000 0.39528471 1.00000000
0.00000000 0.49410588 1.00000000
0.00000000 0.59292706 1.00000000
0.00000000 0.69174824 1.00000000
0.00000000 0.79056942 1.00000000
0.00000000 0.88939059 1.00000000
0.00000000 0.98821177 1.00000000
0.00000000 1.08703295 1.00000000
0.00000000 1.18585412 1.00000000
0.00000000 1.28467530 1.00000000
0.00000000 1.38349648 1.00000000
0.00000000 1.48231765 1.00000000
0.00000000 1.58113883 1.00000000
0.00000000 1.67996001 1.00000000
0.00000000 1.77878118 1.00000000
0.00000000 1.87760236 1.00000000
0.00000000 1.97642354 1.00000000
0.00000000 2.07524471 0.00000000
0.00000000 2.17406589 0.00000000
0.00000000 2.27288707 0.00000000
0.00000000 2.37170825 0.00000000
0.00000000 2.47052942 0.00000000
0.00000000 2.56935060 0.00000000
0.00000000 2.66817178 0.00000000
0.00000000 2.76699295 0.00000000
0.00000000 2.86581413 0.00000000
0.00000000 2.96463531 0.00000000
0.00000000 3.06345648 0.00000000
0.00000000 3.16227766 0.00000000
0.00000000 3.26109884 0.00000000
0.00000000 3.35992001 0.00000000
0.00000000 3.45874119 0.00000000
0.00000000 3.55756237 0.00000000
0.00000000 3.65638354 0.00000000
0.00000000 3.75520472 0.00000000
0.00000000 3.85402590 0.00000000
0.00000000 3.95284708 0.00000000
0.00000000 4.05166825 0.00000000
0.00000000 4.15048943 0.00000000
0.00000000 4.24931061 0.00000000
0.00000000 4.34813178 0.00000000
0.00000000 4.44695296 0.00000000
0.00000000 4.54577414 0.00000000
0.00000000 4.64459531 0.00000000
0.00000000 4.74341649 0.00000000
0.00000000 4.84223767 0.00000000
0.00000000 4.94105884 0.00000000
0.00000000 5.03988002 0.00000000
0.00000000 5.13870120 0.00000000
0.00000000 5.23752237 0.00000000
0.00000000 5.33634355 0.00000000
0.00000000 5.43516473 0.00000000
0.00000000 5.53398591 0.00000000
0.00000000 5.63280708 0.00000000
0.00000000 5.73162826 0.00000000
0.00000000 5.83044944 0.00000000
0.00000000 5.92927061 0.00000000
0.00000000 6.02809179 0.00000000
0.00000000 6.12691297 0.00000000
0.00000000 6.22573414 0.00000000
0.00000000 6.32455532 0.00000000
0.00000000 6.42337650 0.00000000
0.00000000 6.52219767 0.00000000
0.00000000 6.62101885 0.00000000
0.00000000 6.71984003 0.00000000
0.00000000 6.81866120 0.00000000
0.00000000 6.91748238 0.00000000
0.00000000 7.01630356 0.00000000
0.00000000 7.11512474 0.00000000
0.00000000 7.21394591 0.00000000
0.00000000 7.31276709 0.00000000
0.00000000 7.41158827 0.00000000
0.00000000 7.51040944 0.00000000
0.00000000 7.60923062 0.00000000
0.00000000 7.70805180 0.00000000
0.00000000 7.80687297 0.00000000
0.04180186 0.00000000 0.99999726
0.04180186 0.09882118 0.99999743
0.04180186 0.19764235 0.99999761
0.04180186 0.29646353 0.99999796
0.04180186 0.39528471 0.99999850
0.04180186 0.49410588 0.99999924
0.04180186 0.59292706 1.00000010
0.04180186 0.69174824 1.00000091
0.04180186 0.79056942 1.00000131
0.04180186 0.88939059 1.00000077
0.04180186 0.98821177 0.99999853
0.04180186 1.08703295 0.99999292
0.04180186 1.18585412 0.99997901
0.04180186 1.28467530 0.99994202
0.04180186 1.38349648 0.99983946
0.04180186 1.48231765 0.99954548
0.04180186 1.58113883 0.99864782
0.04180186 1.67996001 0.99559542
0.04180186 1.77878118 0.98294201
0.04180186 1.87760236 0.91178555
0.04180186 1.97642354 0.00000000
0.04180186 2.07524471 0.00000000
0.04180186 2.17406589 0.00000000
0.04180186 2.27288707 0.00000000
0.04180186 2.37170825 0.00000000
0.04180186 2.47052942 0.00000000
0.04180186 2.56935060 0.00386535
0.04180186 2.66817178 0.00645379
0.04180186 2.76699295 0.00465195
0.04180186 2.86581413 0.00345275
0.04180186 2.96463531 0.00067556
0.04180186 3.06345648 -0.00180802
0.04180186 3.16227766 -0.00490473
0.04180186 3.26109884 -0.00825005
0.04180186 3.35992001 -0.01172039
0.04180186 3.45874119 -0.01466390
0.04180186 3.55756237 -0.01632125
0.04180186 3.65638354 -0.01619318
0.04180186 3.75520472 -0.01438413
0.04180186 3.85402590 -0.01153161
0.04180186 3.95284708 -0.00843484
0.04180186 4.05166825 -0.00569810
0.04180186 4.15048943 -0.00359754
0.04180186 4.24931061 -0.00214499
0.04180186 4.34813178 -0.00121798
0.04180186 4.44695296 -0.00066286
0.04180186 4.54577414 -0.00034737
0.04180186 4.64459531 -0.00017589
0.04180186 4.74341649 -0.00008626
0.04180186 4.84223767 -0.00004105
0.04180186 4.94105884 -0.00001898
0.04180186 5.03988002 -0.00000854
0.04180186 5.13870120 -0.00000374
0.04180186 5.23752237 -0.00000160
0.04180186 5.33634355 -0.00000067
0.04180186 5.43516473 -0.00000027
0.04180186 5.53398591 -0.00000011
0.04180186 5.63280708 -0.00000004
0.04180186 5.73162826 -0.00000002
0.04180186 5.83044944 -0.00000001
0.04180186 5.92927061 -0.00000000
0.04180186 6.02809179 -0.00000000
0.04180186 6.12691297 -0.00000000
0.04180186 6.22573414 -0.00000000
0.04180186 6.32455532 -0.00000000
0.04180186 6.42337650 -0.00000000
0.04180186 6.52219767 -0.00000000
0.04180186 6.62101885 -0.00000000
0.04180186 6.71984003 -0.00000000
0.04180186 6.81866120 -0.00000000
0.04180186 6.91748238 -0.00000000
0.04180186 7.01630356 -0.00000000
0.04180186 7.11512474 -0.00000000
0.04180186 7.21394591 -0.00000000
0.04180186 7.31276709 -0.00000000
0.04180186 7.41158827 -0.00000000
0.04180186 7.51040944 -0.00000000
0.04180186 7.60923062 -0.00000000
0.04180186 7.70805180 -0.00000000
0.04180186 7.80687297 0.00000000
0.08360373 0.00000000 0.99999496
0.08360373 0.09882118 0.99999484
0.08360373 0.19764235 0.99999472
0.08360373 0.29646353 0.99999468
0.08360373 0.39528471 0.99999485
0.08360373 0.49410588 0.99999541
0.08360373 0.59292706 0.99999650
0.08360373 0.69174824 0.99999808
0.08360373 0.79056942 0.99999964
0.08360373 0.88939059 0.99999977
0.08360373 0.98821177 0.99999566
0.08360373 1.08703295 0.99998168
0.08360373 1.18585412 0.99994456
0.08360373 1.28467530 0.99984817
0.08360373 1.38349648 0.99958920
0.08360373 1.48231765 0.99886511
0.08360373 1.58113883 0.99671006
0.08360373 1.67996001 0.98964391
0.08360373 1.77878118 0.96281011
0.08360373 1.87760236 0.83908985
0.08360373 1.97642354 0.00000000
0.08360373 2.07524471 0.00000000
0.08360373 2.17406589 0.00000000
0.08360373 2.27288707 0.00000000
0.08360373 2.37170825 0.00000000
0.08360373 2.47052942 0.00000000
0.08360373 2.56935060 0.01002914
0.08360373 2.66817178 0.01099587
0.08360373 2.76699295 0.01043049
0.08360373 2.86581413 0.00854599
0.08360373 2.96463531 0.00639443
0.08360373 3.06345648 0.00411760
0.08360373 3.16227766 0.00129386
0.08360373 3.26109884 -0.00221840
0.08360373 3.35992001 -0.00635718
0.08360373 3.45874119 -0.01051416
0.08360373 3.55756237 -0.01370426
0.08360373 3.65638354 -0.01506032
0.08360373 3.75520472 -0.01435454
0.08360373 3.85402590 -0.01209533
0.08360373 3.95284708 -0.00916398
0.08360373 4.05166825 -0.00634466
0.08360373 4.15048943 -0.00407441
0.08360373 4.24931061 -0.00245816
0.08360373 4.34813178 -0.00140757
0.08360373 4.44695296 -0.00077083
