200 80
0.00000000 0.00000000 0.00000000
0.00000000 0.09882118 0.00000000
0.00000000 0.19764235 0.00000000
0.00000000 0.29646353 0.00000000
0.00000000 0.39528471 0.00000000
0.00000000 0.49410588 0.00000000
0.00000000 0.59292706 0.00000000
0.00000000 0.69174824 0.00000000
0.00000000 0.79056942 0.00000000
0.00000000 0.88939059 0.00000000
0.00000000 0.98821177 0.00000000
0.00000000 1.08703295 0.00000000
0.00000000 1.18585412 0.00000000
0.00000000 1.28467530 0.00000000
0.00000000 1.38349648 0.00000000
0.00000000 1.48231765 0.00000000
0.00000000 1.58113883 0.00000000
0.00000000 1.67996001 0.00000000
0.00000000 1.77878118 0.00000000
0.00000000 1.87760236 0.00000000
0.00000000 1.97642354 0.00000000
0.00000000 2.07524471 0.00000000
0.00000000 2.17406589 0.00000000
0.00000000 2.27288707 0.00000000
0.00000000 2.37170825 0.00000000
0.00000000 2.47052942 0.00000000
0.00000000 2.56935060 0.00000000
0.00000000 2.66817178 0.00000000
0.00000000 2.76699295 0.00000000
0.00000000 2.86581413 0.00000000
0.00000000 2.96463531 0.00000000
0.00000000 3.06345648 0.00000000
0.00000000 3.16227766 0.00000000
0.00000000 3.26109884 0.00000000
0.00000000 3.35992001 0.00000000
0.00000000 3.45874119 0.00000000
0.00000000 3.55756237 0.00000000
0.00000000 3.65638354 0.00000000
0.00000000 3.75520472 0.00000000
0.00000000 3.85402590 0.00000000
0.00000000 3.95284708 0.00000000
0.00000000 4.05166825 0.00000000
0.00000000 4.15048943 0.00000000
0.00000000 4.24931061 0.00000000
0.00000000 4.34813178 0.00000000
0.00000000 4.44695296 0.00000000
0.00000000 4.54577414 0.00000000
0.00000000 4.64459531 0.00000000
0.00000000 4.74341649 0.00000000
0.00000000 4.84223767 0.00000000
0.00000000 4.94105884 0.00000000
0.00000000 5.03988002 0.00000000
0.00000000 5.13870120 0.00000000
0.00000000 5.23752237 0.00000000
0.00000000 5.33634355 0.00000000
0.00000000 5.43516473 0.00000000
0.00000000 5.53398591 0.00000000
0.00000000 5.63280708 0.00000000
0.00000000 5.73162826 0.00000000
0.00000000 5.83044944 0.00000000
0.00000000 5.92927061 0.00000000
0.00000000 6.02809179 0.00000000
0.00000000 6.12691297 0.00000000
0.00000000 6.22573414 0.00000000
0.00000000 6.32455532 0.00000000
0.00000000 6.42337650 0.00000000
0.00000000 6.52219767 0.00000000
0.00000000 6.62101885 0.00000000
0.00000000 6.71984003 0.00000000
0.00000000 6.81866120 0.00000000
0.00000000 6.91748238 0.00000000
0.00000000 7.01630356 0.00000000
0.00000000 7.11512474 0.00000000
0.00000000 7.21394591 0.00000000
0.00000000 7.31276709 0.00000000
0.00000000 7.41158827 0.00000000
0.00000000 7.51040944 0.00000000
0.00000000 7.60923062 0.00000000
0.00000000 7.70805180 0.00000000
0.00000000 7.80687297 0.00000000
0.04180186 0.00000000 0.00000000
0.04180186 0.09882118 0.00000011
0.04180186 0.19764235 0.00000014
0.04180186 0.29646353 0.00000013
0.04180186 0.39528471 0.00000005
0.04180186 0.49410588 -0.00000010
0.04180186 0.59292706 -0.00000031
0.04180186 0.69174824 -0.00000055
0.04180186 0.79056942 -0.00000078
0.04180186 0.88939059 -0.00000112
0.04180186 0.98821177 -0.00000224
0.04180186 1.08703295 -0.00000603
0.04180186 1.18585412 -0.00001711
0.04180186 1.28467530 -0.00004708
0.04180186 1.38349648 -0.00012864
0.04180186 1.48231765 -0.00035771
0.04180186 1.58113883 -0.00103121
0.04180186 1.67996001 -0.00312648
0.04180186 1.77878118 -0.00993284
0.04180186 1.87760236 -0.03652856
0.04180186 1.97642354 0.00000000
0.04180186 2.07524471 0.00000000
0.04180186 2.17406589 0.00000000
0.04180186 2.27288707 0.00000000
0.04180186 2.37170825 0.00000000
